price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
802,https://www.rumah123.com/properti/sleman/hos17164910/,Rumah Baru samping  jogjabay waterpark,"Depok, Sleman",4,4,2,126,130
814,https://www.rumah123.com/properti/sleman/hos17164838/,Rumah Kontemporer Wedomartani Maguwoharjo,"Depok, Sleman",4,2,2,162,120
1068,https://www.rumah123.com/properti/sleman/hos17164791/,Rumah Mewah Dalam Perumahan Mbs Condongcatur Depok Sleman,"Condong Catur, Sleman",4,4,1,309,100
904,https://www.rumah123.com/properti/sleman/hos17164777/,"Beli Rumah Sekarang, Dapatkan Bonus Rumah di Sleman Jogja","Sleman, Sleman",4,3,1,182,135
932,https://www.rumah123.com/properti/sleman/hos17164776/,Promo Beli Rumah Gratis Satu Unit di Sleman Jogja,"Sleman, Sleman",4,3,1,196,135
924,https://www.rumah123.com/properti/sleman/hos17164774/,"Beli Rumah, Dapatkan 1 Rumah Lagi di Sleman Jogja","Gamping, Sleman",4,3,1,192,135
917,https://www.rumah123.com/properti/sleman/hos17164773/,"Hemat Besar Beli Rumah, Gratis Rumah Lainnya di Sleman Jogja","Sleman, Sleman",4,3,1,187,136
640,https://www.rumah123.com/properti/sleman/hos17164764/,"Rumah Baru Modern Furnish Jakal Km.7,5","Ngaglik, Sleman",3,3,1,90,115
628,https://www.rumah123.com/properti/sleman/hos14679971/,Timur Uii Kaliurang Kavling SHM Siap Bangun,"Ngemplak, Sleman",3,2,1,144,80
940,https://www.rumah123.com/properti/sleman/hos17164684/,"Beli Satu Rumah, Dapatkan Yang Lain Gratis di Sleman Jogja","Sleman, Sleman",4,3,1,200,135
2860,https://www.rumah123.com/properti/sleman/hos17164634/,"Dijual Rumah Kost 40 Kamar Dekat Kampus Ugm, Depok, Sleman","Depok, Sleman",40,42,1,110,400
543,https://www.rumah123.com/properti/sleman/hos17164617/,Rumah baru dekat Ambarukmo Plasa,"Depok, Sleman",3,2,1,109,75
469,https://www.rumah123.com/properti/sleman/hos17161043/,"Rumah Murah di Perum Griya Purwo Asri, Purwomartani, Lokasi Bagus, .","Kalasan, Sleman",2,1,1,112,60
323,https://www.rumah123.com/properti/sleman/hos17164410/,Rumah Murah Siap Huni 200jt an Tipe 36 75 Di Prambanan,"Prambanan, Sleman",2,1,1,75,36
1601,https://www.rumah123.com/properti/sleman/hos17139024/,Dijual Murah Rumah Bonus Tanah Bangun Kos Dekat Kampus Uii Jogja,"Sleman, Sleman",4,3,1,403,220
886,https://www.rumah123.com/properti/sleman/hos17164364/,Jual Rumah Proses Bangun Purwomartani Design Kontemporer,"Purwomartani   , Sleman",4,3,1,113,175
400,https://www.rumah123.com/properti/sleman/hos8497162/,Rumah Mewah Murah di Jl Godean KM 15 dekat Pasar Ngijon Siap Bangun,"Minggir, Sleman",2,1,,100,45
467,https://www.rumah123.com/properti/sleman/hos14835047/,RUMAH SIAP HUNI di Jl. SIDOMOYO KM 1 MLATI SLEMAN SHM Baru,"Mlati, Sleman",3,2,1,101,55
750,https://www.rumah123.com/properti/sleman/hos16213992/,Rumah Mewah 2lantai Pinggir Jalan Jogja Dekat Kampus Ugm,"Ngaglik, Sleman",3,3,2,140,115
599,https://www.rumah123.com/properti/yogyakarta/hos17163922/,"Rumah 2 Lantai Siap Huni Dalam Perumahan di Palagan, Sleman","Sleman, Yogyakarta",2,1,1,132,90
837,https://www.rumah123.com/properti/sleman/hos17164105/,KOST EKSLUSIF BELAKANG KAMPUS PUSAT UII,"Ngaglik, Sleman",6,6,2,131,115
621,https://www.rumah123.com/properti/sleman/hos17164062/,Rumah Luas Konsep 2 Lantai Di Utara Stadion Maguwoharjo,"Ngemplak, Sleman",3,3,1,103,100
7945,https://www.rumah123.com/properti/sleman/hos17164026/,Villa Pakem Turi Full Furnish Tanah luas,"Turi, Sleman",5,7,10,2770,700
2852,https://www.rumah123.com/properti/sleman/hos4415395/,Villa Eksotik dan Asri di Wisata Kaliurang,"Kaliurang, Sleman",4,2,,766,400
551,https://www.rumah123.com/properti/sleman/hos17163949/,Rumah Baru Dekat Puskesmas Cebongan Sleman,"Cebongan, Sleman",3,2,2,114,71
587,https://www.rumah123.com/properti/sleman/hos17163926/,Rumah dalam Perum Dekat mall JCM,"Mlati, Sleman",3,1,2,126,80
1655,https://www.rumah123.com/properti/sleman/hos17163904/,"Rumah Hyarta Residence, Ngaglik Luas 340m2","Ngaglik, Sleman",4,3,,340,280
924,https://www.rumah123.com/properti/sleman/hos17138306/,Promo Beli Rumah Gratis 1 Rumah Sleman Jogja,"Sleman, Sleman",4,3,1,192,135
641,https://www.rumah123.com/properti/sleman/hos17163865/,Rumah Tingkat Baru Di Purwomartani Dekat Pamela 7,"Kalasan, Sleman",3,2,1,98,115
1918,https://www.rumah123.com/properti/sleman/hos17163861/,Rumah di Jogja Dijual Dekat Hotel Tentrem Yogyakarta,"Mlati, Sleman",4,4,8,564,190
697,https://www.rumah123.com/properti/sleman/hos17163849/,Rumah Baru dekat Jogja Bay Maguwoharjo,"Depok, Sleman",3,2,1,126,115
475,https://www.rumah123.com/properti/yogyakarta/hos17145144/,Rumah Baru cantik timur polres dan BPJS Sleman  yogyakarta,"Sleman, Yogyakarta",3,2,,90,65
1570,https://www.rumah123.com/properti/sleman/hos17163801/,Rumah Jogja Dijual Dekat Jogja City Mall,"Mlati, Sleman",7,4,2,225,300
505,https://www.rumah123.com/properti/sleman/hos17163758/,Rumah Baru dekat SD Model Maguwoharjo,"Depok, Sleman",2,1,1,166,36
502,https://www.rumah123.com/properti/sleman/hos17163711/,"1 Unit, Rumah Siap Huni Dekat Sleman City Hall Di Mlati","Mlati, Sleman",3,2,1,111,60
4615,https://www.rumah123.com/properti/sleman/hos17163673/,"Rumah Besar + Kolam renang Jakal km.7,5","Ngaglik, Sleman",7,6,8,1050,735
2420,https://www.rumah123.com/properti/sleman/hos17163648/,Dijual Kost Exclusive Putri 2 Lantai Dekat Ugm,"Depok, Sleman",13,11,10,235,475
516,https://www.rumah123.com/properti/sleman/hos17163635/,Kost Asri Investasi Tepat Untuk Passive Income Dekat Blok O SHM,"Depok, Sleman",4,4,1,90,62
1879,https://www.rumah123.com/properti/sleman/hos17163586/,Kost Eksklusif Barat kampus UTY Jombor,"Mlati, Sleman",15,15,4,207,300
1180,https://www.rumah123.com/properti/sleman/hos17163508/,KOST FULL PENGHUNI DEKAT KAMPUS UMY,"Gamping, Sleman",10,10,3,100,200
333,https://www.rumah123.com/properti/sleman/hos17163488/,Hunian Modern Legalitas Aman Dekat Rsud Sleman Dengan Akses Mudah,"Sayegan, Sleman",2,1,1,80,36
1332,https://www.rumah123.com/properti/sleman/hos17163398/,RUMAH + KOST FULL DEKAT KAMPUS UMY,"Gamping, Sleman",10,6,3,236,180
1728,https://www.rumah123.com/properti/sleman/hos17140197/,Rumah Mewah Jogja Dekat Hotel Tentrem Mlati Jogja,"Mlati, Sleman",4,4,1,564,150
301,https://www.rumah123.com/properti/sleman/hos17163345/,Rumah Baru American Style Dan Strategis Diutara Candi Prambanan,"Depok, Sleman",2,1,1,73,30
1570,https://www.rumah123.com/properti/sleman/hos17163315/,KOST EKLUSIF BARU DEKAT KAMPUS UII TERPADU,"Ngaglik, Sleman",10,10,3,175,280
597,https://www.rumah123.com/properti/sleman/hos17163297/,Dijual Rumah Mewah Paling Murah Di Jombor Sleman,"Mlati, Sleman",3,3,1,121,80
911,https://www.rumah123.com/properti/sleman/hos17163215/,Rumah Baru dlm perumahan Jalan damai,"Mlati, Sleman",3,3,2,153,160
361,https://www.rumah123.com/properti/sleman/hos17163171/,Promo Rumah Murah Siap Bangun Yang Banyak Bonusnya,"Ngaglik, Sleman",2,1,1,94,36
815,https://www.rumah123.com/properti/sleman/hos17163127/,Rumah dalam perumahan Merapi Regency,"Ngaglik, Sleman",4,3,2,125,140
759,https://www.rumah123.com/properti/yogyakarta/hos16629118/,"Rumah di Cluster, Sleman Yogyakarta","Sleman, Yogyakarta",3,3,1,172,100
765,https://www.rumah123.com/properti/sleman/hos17163042/,RUMAH BARU DEKAT FILOSOPI KOPI PALAGAN,"Ngaglik, Sleman",3,3,2,95,150
497,https://www.rumah123.com/properti/sleman/hos17163005/,Hunian Minimalis Harga Terjangkau Strategis Purwomartani,"Kalasan, Sleman",3,1,1,116,60
792,https://www.rumah123.com/properti/sleman/hos17162943/,RUMAH DEKAT UGM PERUMAHAN JAKAL KM 6,"Ngaglik, Sleman",3,4,1,151,120
676,https://www.rumah123.com/properti/sleman/hos17162842/,Rumah Baru Jakal Km 8 Dekat UGM,"Ngaglik, Sleman",3,2,1,138,100
858,https://www.rumah123.com/properti/sleman/hos17162771/,Rumah baru Jl Plemburan dekat Ugm,"Ngaglik, Sleman",5,4,2,114,150
550,https://www.rumah123.com/properti/sleman/hos17162716/,Rumah Konsep Smarthome Ada Furnish Dekat Polres Sleman,"Sleman, Sleman",3,2,2,130,60
269,https://www.rumah123.com/properti/sleman/hos17162714/,4 Unit Terakhir Rumah Modern Minimalis 200 Jt An Idaman Milenial,"Kalasan, Sleman",2,1,1,60,28
550,https://www.rumah123.com/properti/sleman/hos17162682/,Hunian Konsep Smarthome Ada Furnish Dekat Polres Sleman,"Sleman, Sleman",3,2,2,130,60
815,https://www.rumah123.com/properti/sleman/hos17162681/,Rumah baru dalam perumahan merapi regency,"Ngaglik, Sleman",4,3,2,125,140
768,https://www.rumah123.com/properti/sleman/hos17160947/,Rumah Modern 2 Lantai Siap Huni di Sleman Dekat Jogja Bay,"Ngaglik, Sleman",4,2,1,99,150
423,https://www.rumah123.com/properti/sleman/hos17162627/,"Stok Menipis, Rumah Siap Huni 350 Juta Di Jogja Barat Lingkungan Asri","Godean, Sleman",2,1,1,104,50
658,https://www.rumah123.com/properti/sleman/hos17162590/,Rumah Umbul Permai palagan,"Ngaglik, Sleman",3,2,1,114,110
660,https://www.rumah123.com/properti/sleman/hos17161922/,Rumah Cantik Seturan dekat banyak Kampus,"Depok, Sleman",3,2,1,130,100
514,https://www.rumah123.com/properti/sleman/hos17161849/,Rumah 2 Lt Termurah Di Balecatur Dekat Smpn 1 Gamping,"Gamping, Sleman",2,2,1,103,76
2235,https://www.rumah123.com/properti/sleman/hos17161844/,Kost 20 kamar + Kios jalan utama Condongcatur,"Depok, Sleman",20,15,3,235,370
514,https://www.rumah123.com/properti/sleman/hos17161796/,"Rumah 2 Lt Termurah Siap Kpr Di Balecatur, Gamping","Gamping, Sleman",2,2,1,103,76
383,https://www.rumah123.com/properti/sleman/hos17161727/,"BU Banget!!! Dijual Rugi, Baru Belom pernah dihuni","Kalasan, Sleman",2,1,1,84,50
1165,https://www.rumah123.com/properti/sleman/hos17161719/,Rumah Baru modern utara Monjali,"Ngaglik, Sleman",4,4,2,150,235
580,https://www.rumah123.com/properti/sleman/hos17161710/,Rumah Siap Huni Di Utara Sd Model Wedomartani Ngemplak Sleman,"Ngemplak, Sleman",3,2,1,120,80
1577,https://www.rumah123.com/properti/sleman/hos16700484/,RUMAH BESAR DI JL KALIURANG KM7 DEKAT PASAR KOLOMBO,"Condong Catur, Sleman",4,3,,421,200
790,https://www.rumah123.com/properti/sleman/hos17161664/,Rumah baru Furnished Jl. Kaliurang Km 13,"Ngaglik, Sleman",2,2,2,125,150
405,https://www.rumah123.com/properti/sleman/hos17161656/,Rumah Minimalis Dekat Maguwoharjo Sd Budi Mulia Sleman Yogyakarta,"Ngemplak, Sleman",2,2,1,80,55
526,https://www.rumah123.com/properti/sleman/hos17161655/,Rumah Baru Jogja Di Selomartani Kalasan Sleman Dekat Smp 2 Kalasan,"Kalasan, Sleman",3,2,1,108,70
2943,https://www.rumah123.com/properti/sleman/hos17161606/,Kost Eksklusif 14 Kamar dekat kampus UII Jakal,"Ngaglik, Sleman",14,14,3,502,473
483,https://www.rumah123.com/properti/sleman/hos17161570/,"Rumah Murah Di Palagan Ngaglik Sleman, 8 Menit Ke Sch","Ngaglik, Sleman",3,1,2,104,60
2106,https://www.rumah123.com/properti/sleman/hos17161553/,Rumah Besar Condongcatur Timur Banteng,"Ngaglik, Sleman",5,2,7,503,300
1266,https://www.rumah123.com/properti/sleman/hos17161538/,Rumah Etnik Siap Huni Full Furnished Dekat Wisata Candi,"Ngemplak, Sleman",5,6,1,320,142
8014,https://www.rumah123.com/properti/sleman/hos17161518/,Rumah Gallery Jawa Etnik Di Purwobinangun Pakem Sleman,"Pakem, Sleman",9,6,,2367,1000
1184,https://www.rumah123.com/properti/sleman/hos17161493/,Rumah jalan lempongsari cocok buat usaha,"Ngaglik, Sleman",3,2,2,267,180
3226,https://www.rumah123.com/properti/sleman/hos15801533/,Rumah 2 Lantai Semi Furnished Dekat Bandara Area Kalasan,"Kalasan, Sleman",5,4,1,778,500
861,https://www.rumah123.com/properti/sleman/hos16979973/,Rumah Mewah Dekat Kampus Ugm di Maguwoharjo Dalam Ringroad,"Depok, Sleman",4,3,2,118,160
805,https://www.rumah123.com/properti/sleman/hos17161453/,Rumah Mewah 2 Lantai Di Belakang Hotel Hyatt Mlati Sleman,"Mlati, Sleman",3,3,1,105,160
521,https://www.rumah123.com/properti/sleman/hos17161450/,Rumah Baru Siap Huni Dekat Lpmp Selomartani Kalasan Sleman,"Kalasan, Sleman",2,1,1,108,80
3070,https://www.rumah123.com/properti/sleman/hos17161432/,Kost Eksklusif + rumah induk dekat UGM,"Ngaglik, Sleman",17,17,7,550,435
616,https://www.rumah123.com/properti/sleman/hos17150734/,Rumah Bagus Unfurnished Dekat Kampus Gamping Sleman,"Gamping, Sleman",2,2,,118,100
542,https://www.rumah123.com/properti/sleman/hos17161404/,Rumah Siap Huni Di Tirtomartani Kalasan Sleman Dekat Kantor Lpmp,"Kalasan, Sleman",3,2,1,101,80
510,https://www.rumah123.com/properti/sleman/hos17161402/,Rumah Siap Huni Di Wedomartani Dekat Ngaglik Sleman Yogyakarta,"Ngemplak, Sleman",3,2,1,115,60
1155,https://www.rumah123.com/properti/sleman/hos17161375/,Kost 8 kamar + Rumah Induk area Seturan,"Depok, Sleman",8,5,2,150,200
4921,https://www.rumah123.com/properti/sleman/hos17150903/,Rumah Kost Dan Rumah Induk Dekat Kampus Uin Jl. Timoho,"Caturtunggal, Sleman",34,8,,1145,607
3015,https://www.rumah123.com/properti/sleman/hos17150913/,Rumah Mewah Modern Kawasan Perumahan Dekat Kampus Jogja,"Depok, Sleman",17,15,,389,554
1521,https://www.rumah123.com/properti/sleman/hos17150941/,Rumah Kos SHM Dekat Kampus Dan Pusat Bisnis Jl. Kaliurang,"Mlati, Sleman",14,5,,203,250
550,https://www.rumah123.com/properti/sleman/hos17161363/,Rumah Modern Smart Home Furnished Dekat Pemda Sleman Di Triharjo Sleman,"Sleman, Sleman",3,2,2,130,60
1070,https://www.rumah123.com/properti/sleman/hos17150947/,"Rumah Kos 2 Lantai Furnished Shm Dekat Kampus Ugm Jl. Kaliurang Km 4,5 Jogja","Depok, Sleman",7,3,2,140,195
